rank,itemName,itemPrice,shopName,genreId
1,【選ばれて安心No.1】 楽天1位! ノートパソコン 中古 Office付き 8GB Corei5 新品SSD マニュアル付 安心サポート込み! 初期設定不要! すぐ使える! パソコン Windows10 大画面 HDMI 中古パソコン 店長おまかせNECノート 15型 中古ノートパソコン ノートPC,29999,中古パソコン　くじらや,100040
2,新品 ノートパソコン office2019 付き Windows10 Pro オフィス搭載 15.6インチ Wi-Fi WEBカメラ内蔵【到着後レビューでプレゼント】 【平日15時、土日祝12時まで即日発送】※即日発送の締切時間は注文ではなく決済確認が取れたタイミング,44800,いい買い物本舗,100040
3,GW中通常発送 楽天2020年間ランキングNo.1PC! 【安心180日保証】 中古 パソコン 新品 SSD 480GB メモリ 8GB 第3世代 Core i5提供 第4世代に変更も対応 中古ノートパソコン Windows10 店長オススメ 超高速SSD おまかせ 15.6型 無線LAN DVDマルチドライブ office付き ノートPC,29800,マンツウオンラインショップ,100040
4,Core i7 16GBメモリ 1TB SSD PCIe規格 指紋認証 WEBカメラ Wi-Fi 6 15.6型 フルHD IPS タッチパネル HP Pavilion 15 (型番:2D6N0PA-AADV) ノートパソコン Office付き 新品 （WPS Office Standard Edition） 第11世代CPU Iris Xe グラフィックス フォグブルー,109500,HP Garage Store（HP公式ストア）,100040
5,GW中通常発送 中古ノートパソコン Windows10 ssd 新品 120GB 中古パソコン ノート Windows10 おまかせパソコン Celeron900相当または以上 CPU メモリ 4GB 無線LAN DVDマルチドライブ Office付き Windows10 ノートパソコン 180日安心保証 中古 パソコン ノートPC,13666,マンツウオンラインショップ,100040
6,【HD720P 外付WEBカメラ付】【月間ランキング1位】設定不要！すぐに使える！ノートパソコン パソコン ノートPC 電話相談サポート本追加可 Windows10 Win10 メモリ4GB Celeron 15.6インチワイド DVDROM Office付 30日保証【中古】,12800,パソコン総合ショップ　OA-PLAZA,100040
7,【日本製】【あす楽】【WEBカメラ付】【ウィルス対策にKBカバー】【今だけメモリ8GB】ノートパソコン 【今なら 富士通製】 ノートPC 新品SSD512GB メモリ8GB 15.6インチ 第四世代 Corei5 Windows10 外付テンキー選択可 中古PC 【30日保証 中古】【除菌スプレープレゼント】,39800,パソコン総合ショップ　OA-PLAZA,100040
8,新品 ノートパソコン office2019 付き Windows10 Pro オフィス搭載 14.1インチ WEBカメラ内蔵 【到着後レビューでプレゼント！】 【平日15時、土日祝12時まで即日発送！】※即日発送の締切時間は注文ではなく決済確認が取れたタイミング,37800,いい買い物本舗,100040
9,レノボジャパン　Lenovo　10．1型ノートパソコン　IdeaPad　Duet　Chromebook　［セパレート型］　ZA6F0038JP アイスブルー,34979,コジマ楽天市場店,100040
10,ASUS　エイスース C223NA-GJ0018 ノートパソコン Chromebook （クロームブック） C223NA グレー [11.6型 /intel Celeron /eMMC：32GB /メモリ：4GB /2020年6月モデル][11.6インチ 新品],19806,楽天ビック（ビックカメラ×楽天）,100040
11,【5月上旬頃】dynabook PZ/HPB(W6PHP5BZDB)(Windows 10/Office付き/15.6型ワイドFHD 広視野角 /Core i5-1135G7 /256GB SSD/ブラック),124300,Dynabook Direct　楽天市場店,100040
12,今だけ超得! 超軽量お仕事モバイル ノートパソコン 中古 Office付き 初期設定不要 すぐ使える! 強力性能 第7世代Corei5 SSD Windows10 富士通 LIFEBOOK U938/S Core i5 8GBメモリ 13.3型 軽い スリム ウルトラブック 中古パソコン 中古ノートパソコン,48999,中古パソコン　くじらや,100040
13,中古パソコン 中古ノートパソコン Windows10 NEC VersaProシリーズ 第四世代 Corei5 極速メモリー 新品SSD 15.6型ワイド画面 HDMI USB3.0対応 最新OS Office付 無線LAN対応 中古動作良好品【送料無料】,35999,OAサポート,100040
14,【あす楽】【安心の日本製】【KBカバー付】ノートパソコン 中古パソコン 富士通 FMV LifeBook Corei5 15.6インチ SSD256GB メモリ8GB Win10 DVDマルチ 無線LAN Office 外付けテンキー選択可【WEBカメラ付】【中古】【除菌スプレープレゼント】,29800,パソコン総合ショップ　OA-PLAZA,100040
15,[あす楽] 中古★店長おまかせ ノートパソコン Windows10 14型 HDD250GB メモリ4GB Celeron or Pentium 富士通/NEC/DELL/HP等 中古 ノートPC パソコン ノート 中古パソコン 中古PC Win10 オフィス 在宅 テレワーク 格安 WPS Office 【★安心30日保証】,9500,中古パソコン専門ストア HHHT,100040
16,DELL デル ノートパソコン Inspiron 15 5000 プレミアム 15.6型FHD/ 第3世代 Ryzen 5 4500U/メモリ 8GB/SSD 256GB/Windows 10/Office 付き/シルバー 【新品】,89800,BJY通販ショップ,100040
17,2020年3月発売モデル Apple MacBook Air 13.3型 Touch ID 256GB シルバー MWTK2J/A Retinaディスプレイ 13.3型 Core i3 SSD 256GB 8GB,102800,TRYX3楽天市場店,100040
18,マイクロソフト　Microsoft THH-00045 Surface Laptop Go(サーフェス ラップトップ ゴー) サンドストーン [12.4型 /intel Core i5 /SSD：128GB /メモリ：8GB /2020年10月モデル][12.4インチ office付き 新品 windows10],96580,楽天ビック（ビックカメラ×楽天）,100040
19,Core i5 8GBメモリ 512GB SSD PCIe規格 指紋認証 WEBカメラ 無線LAN Wi-Fi 6 14型 フルHD IPS タッチパネル HP Pavilion 14 (型番:2D6N8PA-AADP) ノートパソコン Office付き 新品 （WPS Office） 第11世代Core i5 SAKURA,83500,HP Garage Store（HP公式ストア）,100040
20,新品 ノートパソコン dynabook B65/EP 【Windows10 Pro/Core i3-8145U/4GB/500GB/MULTI】高速Wi-Fi 11ax 無線LAN テンキー カメラ HDMI 15.6インチ WPS Office付き A4,59800,パソコンショップ＠フェローズ,100040
